title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,day,month,year
M 7.7 - southeast of the Loyalty Islands,7.7,5,4,green,1,927,us,277,3.111,15.0,mww,18.027,-23.23,170.69,the Loyalty Islands,Europe,France,19,5,2023
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,8,6,green,1,907,us,111,3.631,17.0,mww,210.097,-15.6,-174.61,"Hihifo, Tonga",Oceania,Tonga,10,5,2023
M 6.6 - south of the Fiji Islands,6.6,0,2,green,0,670,us,52,5.123,50.0,mww,598.467,-25.27,178.42,the Fiji Islands,Oceania,Fiji,28,4,2023
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,9,7,green,0,838,us,70,2.282,58.0,mww,15.462,-0.78,98.53,"Teluk Dalam, Indonesia",Asia,Indonesia,24,4,2023
"M 7.1 - Kermadec Islands, New Zealand",7.1,8,7,green,1,777,us,126,0.708,23.0,mww,43.063,-30.02,-177.9,"Kermadec Islands, New Zealand",Oceania,New Zealand,24,4,2023
M 6.7 - south of the Fiji Islands,6.7,0,3,green,1,691,us,166,4.719,10.0,mww,595.854,-22.28,179.39,the Fiji Islands,Oceania,Fiji,18,4,2023
"M 7.0 - 96 km N of Tuban, Indonesia",7.0,5,3,green,0,818,us,131,1.881,31.0,mww,594.028,-6.03,112.03,"Tuban, Indonesia",Asia,Indonesia,14,4,2023
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,7,6,yellow,1,655,us,104,0.266,30.0,mww,105.631,52.78,158.48,"the Kamchatka Peninsula, Russia",Asia,Russian Federation,3,4,2023
"M 7.0 - New Guinea, Papua New Guinea",7.0,7,7,green,1,781,us,105,6.45,31.0,mww,62.603,-4.29,143.16,"New Guinea, Papua New Guinea",Asia,Papua New Guinea,2,4,2023
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,4,4,green,0,656,us,97,1.622,33.0,mww,209.976,-23.48,-66.51,"San Antonio de los Cobres, Argentina",South America,Argentina,22,3,2023
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,7,5,green,0,1350,us,134,2.53,13.0,mww,187.589,36.52,70.98,"Jurm, Afghanistan",Asia,Afghanistan,21,3,2023
M 6.8 - near the coast of Ecuador,6.8,9,7,orange,1,1159,us,152,0.709,28.0,mww,65.842,-2.85,-79.8,Ecuador,South America,Ecuador,18,3,2023
"M 6.9 - Kermadec Islands, New Zealand",6.9,5,5,green,1,735,us,108,0.784,18.0,mww,205.681,-29.47,-178.79,"Kermadec Islands, New Zealand",Oceania,New Zealand,4,3,2023
"M 6.5 - 86 km WSW of Port-Olry, Vanuatu",6.5,7,6,green,1,653,us,66,5.483,45.0,mww,10.0,-15.36,166.38,"Port-Olry, Vanuatu",Oceania,Vanuatu,2,3,2023
"M 6.5 - 108 km NW of Kimbe, Papua New Guinea",6.5,4,2,green,1,652,us,115,2.739,20.0,mww,598.925,-4.81,149.49,"Kimbe, Papua New Guinea",Oceania,Papua New Guinea,1,3,2023
"M 6.8 - 67 km W of Murghob, Tajikistan",6.8,9,7,green,0,737,us,128,1.783,20.0,mww,20.522,38.07,73.21,"Murghob, Tajikistan",Asia,Tajikistan,23,2,2023
"M 7.5 - 4 km SSE of Ekinözü, Turkey",7.5,9,9,orange,0,1411,us,135,0.85,17.0,mww,10.0,38.02,37.2,"Ekinözü, Turkey",Asia,Turkey,6,2,2023
"M 6.7 - 18 km ESE of Nurdağı, Turkey",6.7,9,8,yellow,0,800,us,108,0.218,44.0,mww,14.497,37.41,36.83,"Nurdağı, Turkey",Asia,Turkey,6,2,2023
M 7.8 - Central Turkey,7.8,9,9,red,0,2910,us,118,1.919,32.0,mww,17.925,37.2,37.0,Central Turkey,Asia,Turkey,6,2,2023
M 6.8 - ,6.8,4,3,green,0,718,us,60,5.129,61.0,mww,610.671,-26.72,-63.04,"Santiago del Estero, Argentina",South America,Argentina,20,1,2023
"M 7.0 - 153 km NW of Tobelo, Indonesia",7.0,3,5,green,1,756,us,130,1.974,17.0,mwc,28.566,2.74,127.05,"Tobelo, Indonesia",Asia,Indonesia,18,1,2023
"M 7.6 - Pulau Pulau Tanimbar, Indonesia",7.6,5,7,green,0,957,us,114,1.575,21.0,mww,105.249,-7.09,130.04,"Pulau Pulau Tanimbar, Indonesia",Asia,Indonesia,9,1,2023
M 7.0 - Vanuatu,7.0,8,7,green,1,768,us,116,6.096,36.0,mww,29.0,-14.94,166.88,Vanuatu,Oceania,Vanuatu,8,1,2023
"M 6.8 - 109 km NE of Hihifo, Tonga",6.8,5,5,green,1,720,us,152,2.587,26.0,mww,38.0,-15.4,-172.97,"Hihifo, Tonga",Oceania,Tonga,4,12,2022
"M 7.0 - 18 km SW of Malango, Solomon Islands",7.0,8,7,green,1,768,us,117,0.509,17.0,mww,14.0,-9.8,159.6,"Malango, Solomon Islands",Oceania,Solomon Islands,22,11,2022
"M 6.9 - 204 km SW of Bengkulu, Indonesia",6.9,4,4,green,0,735,us,99,2.229,34.0,mww,25.0,-4.96,100.74,"Bengkulu, Indonesia",Asia,Indonesia,18,11,2022
M 7.0 - ,7.0,3,3,green,1,755,us,147,3.125,18.0,mww,579.0,-20.05,-178.35,"Eastern, Fiji",Oceania,Fiji,12,11,2022
"M 7.3 - 205 km ESE of Neiafu, Tonga",7.3,5,5,green,1,833,us,149,1.865,21.0,mww,37.0,-19.29,-172.13,"Neiafu, Tonga",Oceania,Tonga,11,11,2022
M 7.0 - south of the Fiji Islands,7.0,4,3,green,1,755,us,142,4.578,26.0,mwb,660.0,-26.04,178.38,the Fiji Islands,Oceania,Fiji,9,11,2022
M 6.8 - south of the Fiji Islands,6.8,1,3,green,1,711,us,136,4.678,22.0,mww,630.379,-25.97,178.36,the Fiji Islands,Oceania,Fiji,9,11,2022
"M 6.7 - 60 km SSW of Boca Chica, Panama",6.7,7,6,green,1,797,us,145,1.151,37.0,mww,20.0,7.67,-82.34,"Boca Chica, Panama",North America,Panama,20,10,2022
"M 6.8 - 55 km SSW of Aguililla, Mexico",6.8,8,7,yellow,1,1179,us,175,2.137,92.0,mww,20.0,18.33,-102.91,"Aguililla, Mexico",North America,Mexico,22,9,2022
"M 7.6 - 35 km SSW of Aguililla, Mexico",7.6,9,8,yellow,1,1799,us,271,1.153,69.0,mww,26.943,18.37,-103.25,"Aguililla, Mexico",North America,Mexico,19,9,2022
"M 6.9 - 90 km E of Yujing, Taiwan",6.9,9,9,yellow,1,887,us,215,0.401,34.0,mww,10.0,23.14,121.31,"Yujing, Taiwan",Asia,Taiwan,18,9,2022
"M 6.5 - 96 km SE of Lugu, Taiwan",6.5,7,7,green,1,756,us,178,0.43,54.0,mww,10.0,23.03,121.35,"Lugu, Taiwan",Asia,Taiwan,17,9,2022
"M 7.0 - 209 km SSE of Isangel, Vanuatu",7.0,7,5,green,1,761,us,192,2.977,45.0,mww,137.0,-21.21,170.24,"Isangel, Vanuatu",Oceania,Vanuatu,14,9,2022
"M 7.6 - 70 km E of Kainantu, Papua New Guinea",7.6,8,8,yellow,1,965,us,272,3.158,12.0,mww,116.0,-6.22,146.47,"Kainantu, Papua New Guinea",Oceania,Papua New Guinea,10,9,2022
"M 6.6 - 44 km SE of Kangding, China",6.6,9,8,orange,0,1043,us,141,8.454,34.0,mww,12.0,29.73,102.28,"Kangding, China",Asia,China,5,9,2022
"M 7.0 - 11 km NE of Bantay, Philippines",7.0,9,8,yellow,1,1351,us,152,5.276,22.0,mww,33.729,17.6,120.81,"Bantay, Philippines",Asia,Philippines,27,7,2022
"M 6.5 - 107 km SSW of Tarauacá, Brazil",6.5,3,2,green,0,653,us,236,1.999,31.0,mww,622.73,-9.06,-71.16,"Tarauacá, Brazil",South America,Brazil,8,6,2022
"M 7.2 - 10 km W of Azángaro, Peru",7.2,7,5,green,1,876,us,144,2.494,40.0,mww,236.0,-14.86,-70.31,"Azángaro, Peru",South America,Peru,26,5,2022
"M 6.8 - 86 km NNW of San Antonio de los Cobres, Argentina",6.8,6,5,green,1,762,us,162,1.505,30.0,mww,220.0,-23.61,-66.72,"San Antonio de los Cobres, Argentina",South America,Argentina,10,5,2022
"M 6.6 - 55 km WSW of Masachapa, Nicaragua",6.6,6,5,green,1,762,us,0,0.914,94.0,mww,27.0,11.55,-86.99,"Masachapa, Nicaragua",North America,Nicaragua,21,4,2022
M 7.0 - southeast of the Loyalty Islands,7.0,6,4,green,1,763,us,0,2.705,26.0,mww,10.0,-22.57,170.35,the Loyalty Islands,Europe,France,31,3,2022
"M 6.9 - 284 km ESE of Tadine, New Caledonia",6.9,6,4,green,1,738,us,0,2.697,42.0,mww,10.0,-22.72,170.28,"Tadine, New Caledonia",Europe,France,30,3,2022
"M 6.7 - 65 km S of Hualien City, Taiwan",6.7,8,7,green,1,806,us,0,0.289,32.0,mww,24.0,23.34,121.64,"Hualien City, Taiwan",Asia,Taiwan,22,3,2022
"M 7.3 - 57 km ENE of Namie, Japan",7.3,9,8,red,1,2397,us,0,2.936,29.0,mww,41.0,37.7,141.59,"Namie, Japan",Asia,Japan,16,3,2022
"M 6.7 - 166 km W of Pariaman, Indonesia",6.7,9,6,green,0,708,us,0,2.188,43.0,mww,28.0,-0.68,98.6,"Pariaman, Indonesia",Asia,Indonesia,13,3,2022
"M 6.6 - Kermadec Islands, New Zealand",6.6,2,7,green,1,670,us,0,0.827,46.0,mww,24.0,-30.05,-177.74,"Kermadec Islands, New Zealand",Oceania,New Zealand,2,3,2022
M 6.8 - south of the Fiji Islands,6.8,2,3,green,1,712,us,0,5.78,12.0,mww,535.0,-23.79,-179.97,the Fiji Islands,Oceania,Fiji,16,2,2022
"M 6.5 - 49 km NW of Barranca, Peru",6.5,8,6,green,0,690,us,0,3.026,22.0,mww,110.0,-4.46,-76.94,"Barranca, Peru",South America,Peru,3,2,2022
"M 6.6 - 80 km SW of Labuan, Indonesia",6.6,8,6,green,0,785,us,0,2.418,22.0,mww,33.0,-6.93,105.25,"Labuan, Indonesia",Asia,Indonesia,14,1,2022
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,0,3,,1,650,at,97,1.61607,108.0,Mi,37.0,52.5,-168.08,"Nikolski, Alaska",North America,United States,11,1,2022
"M 6.5 - 71 km SE of Nikolski, Alaska",6.5,0,3,,1,650,pt,23,0.0,208.8,Mi,37.0,52.5,-168.08,"Nikolski, Alaska",North America,United States,11,1,2022
"M 6.6 - 53 km SE of Nikolski, Alaska",6.6,8,5,green,1,674,us,0,0.507,49.0,mww,19.0,52.63,-168.15,"Nikolski, Alaska",North America,United States,11,1,2022
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,0,4,,1,691,at,50,0.936943,126.0,Mi,33.0,52.48,-167.74,"Nikolski, Alaska",North America,United States,11,1,2022
"M 6.7 - 91 km SE of Nikolski, Alaska",6.7,0,4,,1,691,pt,20,0.0,205.2,Mi,33.0,52.48,-167.74,"Nikolski, Alaska",North America,United States,11,1,2022
"M 6.8 - 100 km SE of Nikolski, Alaska",6.8,7,6,green,1,730,us,0,0.92,61.0,mww,20.0,52.66,-167.92,"Nikolski, Alaska",North America,United States,11,1,2022
"M 6.6 - 48 km WNW of Pólis, Cyprus",6.6,6,6,green,0,976,us,0,1.168,21.0,mww,21.0,35.15,31.91,"Pólis, Cyprus",Asia,Cyprus,11,1,2022
"M 6.6 - northern Qinghai, China",6.6,9,8,orange,0,1012,us,0,2.685,13.0,mww,13.0,37.82,101.3,"northern Qinghai, China",Asia,China,7,1,2022
"M 7.3 - 125 km NNE of Lospalos, Timor Leste",7.3,8,7,green,0,921,us,0,3.713,19.0,mww,165.49,-7.59,127.58,"Lospalos, Timor Leste",Asia,Indonesia,29,12,2021
M 7.3 - Flores Sea,7.3,9,5,green,1,854,us,0,1.025,32.0,mww,14.27,-7.6,122.2,Flores Sea,Asia,Indonesia,14,12,2021
"M 7.5 - 43 km NNW of Barranca, Peru",7.5,8,8,yellow,1,1094,us,0,4.951,40.0,mww,126.0,-4.49,-76.85,"Barranca, Peru",South America,Peru,28,11,2021
"M 6.6 - 177 km SE of Hirara, Japan",6.6,7,4,green,1,688,us,0,3.259,15.0,mww,12.0,23.54,126.48,"Hirara, Japan",Asia,Japan,10,11,2021
"M 6.9 - 112 km E of Chignik, Alaska",6.9,8,6,green,1,995,ak,0,0.0,0.0,mww,51.6,56.26,-156.49,"Chignik, Alaska",North America,United States,11,10,2021
M 6.9 - Vanuatu region,6.9,4,3,green,1,740,us,0,4.778,31.0,mww,535.0,-21.17,174.54,Vanuatu region,South America,Brazil,9,10,2021
M 7.3 - Vanuatu region,7.3,4,4,green,1,826,us,0,4.493,32.0,mww,527.0,-21.1,174.9,Vanuatu region,South America,Brazil,2,10,2021
"M 6.5 - 80 km SW of Jiquilillo, Nicaragua",6.5,7,5,green,1,684,us,0,0.993,114.0,mww,21.0,12.16,-87.85,"Jiquilillo, Nicaragua",North America,Nicaragua,22,9,2021
"M 7.0 - Acapulco, Mexico",7.0,8,8,red,1,2504,us,0,0.07,43.0,mww,20.0,16.95,-99.79,"Acapulco, Mexico",North America,Mexico,8,9,2021
M 7.1 - South Sandwich Islands region,7.1,1,4,green,1,776,us,0,9.799,32.0,mww,6.0,-60.3,-25.0,South Sandwich Islands region,Antarctica,Antarctica,22,8,2021
M 6.6 - South Sandwich Islands region,6.6,1,3,green,1,670,us,0,8.865,19.0,mww,7.0,-60.1,-24.46,South Sandwich Islands region,Antarctica,Antarctica,22,8,2021
"M 6.9 - 17 km N of Port-Olry, Vanuatu",6.9,8,7,green,1,741,us,0,0.579,54.0,mww,93.0,-14.89,167.08,"Port-Olry, Vanuatu",Oceania,Vanuatu,18,8,2021
"M 7.2 - Nippes, Haiti",7.2,9,8,red,1,2331,us,0,1.178,23.0,mww,10.0,18.35,-73.48,"Nippes, Haiti",North America,Haiti,14,8,2021
"M 6.9 - 136 km SE of Perryville, Alaska",6.9,5,4,green,1,738,ak,0,0.0,0.0,mww,33.3,55.24,-157.71,"Perryville, Alaska",North America,United States,14,8,2021
"M 6.9 - 125 km SE of Perryville, Alaska",6.9,5,4,green,1,738,us,0,1.173,36.0,mww,20.74,55.27,-157.68,"Perryville, Alaska",North America,United States,14,8,2021
"M 7.1 - 60 km ENE of Pondaguitan, Philippines",7.1,9,7,green,1,846,us,0,1.273,25.0,mww,55.14,6.45,126.74,"Pondaguitan, Philippines",Asia,Philippines,11,8,2021
"M 8.2 - 91 km ESE of Perryville, Alaska",8.2,8,6,green,1,1237,us,0,0.875,66.0,mww,46.66,55.47,-157.92,"Perryville, Alaska",North America,United States,29,7,2021
"M 8.2 - 99 km SE of Perryville, Alaska",8.2,8,7,yellow,1,1252,ak,0,0.0,0.0,mww,35.0,55.32,-157.83,"Perryville, Alaska",North America,United States,29,7,2021
"M 6.7 - 15 km S of Hukay, Philippines",6.7,8,5,green,1,935,us,0,8.139,12.0,mww,110.0,13.7,120.71,"Hukay, Philippines",Asia,Philippines,23,7,2021
"M 6.7 - 71 km S of Burica, Panama",6.7,6,6,green,1,830,us,0,1.395,61.0,mww,10.0,7.59,-82.88,"Burica, Panama",North America,Panama,21,7,2021
"M 6.5 - Kermadec Islands, New Zealand",6.5,0,4,green,1,650,us,0,7.994,24.0,mww,25.0,-30.21,-177.77,"Kermadec Islands, New Zealand",Oceania,New Zealand,20,6,2021
"M 6.5 - 265 km SSE of Alo, Wallis and Futuna",6.5,5,7,green,1,652,us,0,4.518,44.0,mww,10.0,-16.48,-177.36,"Alo, Wallis and Futuna",Europe,France,21,5,2021
"M 7.3 - Southern Qinghai, China",7.3,9,9,orange,0,1025,us,0,4.655,9.0,mww,10.0,34.59,98.26,"Southern Qinghai, China",Asia,China,21,5,2021
"M 6.7 - 260 km S of Sinabang, Indonesia",6.7,8,4,green,0,698,us,0,1.487,37.0,mww,11.0,0.17,96.65,"Sinabang, Indonesia",Asia,Indonesia,14,5,2021
M 6.7 - Mauritius - Reunion region,6.7,9,3,green,0,694,us,0,10.669,45.0,mww,10.0,-17.25,66.37,Mauritius - Reunion region,Europe,France,12,5,2021
M 6.9 - ,6.9,7,6,green,1,919,us,0,2.619,35.0,mww,43.0,38.23,141.66,"Miyagi Prefecture, Japan",Asia,Japan,1,5,2021
"M 6.5 - 207 km WSW of Haveluloto, Tonga",6.5,4,4,green,0,651,us,0,5.931,20.0,mww,246.0,-21.69,-177.06,"Haveluloto, Tonga",Oceania,Tonga,25,4,2021
"M 6.5 - 225 km WNW of Pangai, Tonga",6.5,6,4,green,0,652,us,0,10.405,19.0,mww,301.0,-18.92,-176.24,"Pangai, Tonga",Oceania,Tonga,24,4,2021
"M 7.0 - 30 km E of Ishinomaki, Japan",7.0,7,7,yellow,1,1052,us,0,2.378,35.0,mww,43.0,38.48,141.61,"Ishinomaki, Japan",Asia,Japan,20,3,2021
"M 6.6 - 171 km SSE of Ust’-Kamchatsk Staryy, Russia",6.6,5,5,green,1,672,us,0,3.183,18.0,mww,13.23,54.7,163.21,"Ust’-Kamchatsk Staryy, Russia",Europe,Russian Federation,16,3,2021
"M 8.1 - Kermadec Islands, New Zealand",8.1,9,8,green,1,1021,us,0,0.739,21.0,mww,28.93,-29.75,-177.22,"Kermadec Islands, New Zealand",Oceania,New Zealand,4,3,2021
"M 7.4 - Kermadec Islands, New Zealand",7.4,3,7,green,1,843,us,0,0.437,30.0,mww,43.0,-29.61,-177.84,"Kermadec Islands, New Zealand",Oceania,New Zealand,4,3,2021
"M 7.3 - 182 km NE of Gisborne, New Zealand",7.3,7,6,green,1,932,us,0,0.918,24.0,mww,10.0,-37.6,179.54,"Gisborne, New Zealand",Oceania,New Zealand,4,3,2021
"M 7.1 - 73 km ENE of Namie, Japan",7.1,9,8,orange,1,1612,us,0,3.085,11.0,mww,43.98,37.69,141.99,"Namie, Japan",Asia,Japan,13,2,2021
M 7.7 - southeast of the Loyalty Islands,7.7,9,4,green,1,918,us,0,7.989,15.0,mww,10.0,-23.28,171.49,the Loyalty Islands,Europe,France,10,2,2021
M 6.9 - South Shetland Islands,6.9,9,5,green,1,739,us,0,1.55,16.0,mww,15.0,-61.85,-55.56,South Shetland Islands,Antarctica,Antarctica,23,1,2021
"M 7.0 - 211 km SE of Pondaguitan, Philippines",7.0,7,5,green,1,802,us,0,2.821,15.0,mww,80.0,5.01,127.52,"Pondaguitan, Philippines",Asia,Philippines,21,1,2021
"M 6.7 - 29 km SSW of Turt, Mongolia",6.7,8,8,green,0,776,us,0,2.043,22.0,mww,10.0,51.24,100.44,"Turt, Mongolia",Asia,Mongolia,11,1,2021
"M 6.7 - 146 km WNW of Corral, Chile",6.7,5,5,green,1,776,us,0,1.319,19.0,mww,10.0,-39.33,-74.91,"Corral, Chile",South America,Chile,27,12,2020
"M 7.0 - 13 km NNE of Néon Karlovásion, Greece",7.0,8,7,orange,0,1527,us,0,1.518,18.0,mww,21.0,37.9,26.8,"Néon Karlovásion, Greece",Europe,Greece,30,10,2020
"M 7.6 - 99 km SE of Sand Point, Alaska",7.6,9,7,yellow,1,1165,us,0,0.23,36.0,mww,28.37,54.66,-159.68,"Sand Point, Alaska",North America,United States,19,10,2020
"M 6.5 - 94 km NW of Vallenar, Chile",6.5,6,6,green,0,674,us,0,0.388,49.0,mww,16.0,-27.93,-71.39,"Vallenar, Chile",South America,Chile,1,9,2020
"M 6.8 - 86 km NW of Vallenar, Chile",6.8,6,7,green,1,824,us,0,0.312,69.0,mww,21.0,-28.01,-71.2,"Vallenar, Chile",South America,Chile,1,9,2020
"M 6.9 - 222 km SSE of Katabu, Indonesia",6.9,4,3,green,0,749,us,0,2.267,20.0,mww,624.0,-6.67,123.49,"Katabu, Indonesia",Asia,Indonesia,21,8,2020
"M 6.9 - 122 km WSW of Bengkulu, Indonesia",6.9,4,4,green,0,735,us,0,1.716,25.0,mww,26.0,-4.28,101.22,"Bengkulu, Indonesia",Asia,Indonesia,18,8,2020
"M 6.8 - 138 km WSW of Bengkulu, Indonesia",6.8,5,4,green,0,716,us,0,1.816,34.0,mww,22.0,-4.37,101.1,"Bengkulu, Indonesia",Asia,Indonesia,18,8,2020
"M 6.6 - 13 km E of San Pedro, Philippines",6.6,9,8,yellow,1,784,us,0,5.128,14.0,mww,10.0,12.01,124.13,"San Pedro, Philippines",Asia,Philippines,18,8,2020
"M 7.8 - 99 km SSE of Perryville, Alaska",7.8,9,7,green,1,1111,us,0,0.621,60.0,mww,28.0,55.11,-158.48,"Perryville, Alaska",North America,United States,22,7,2020
"M 7.0 - 114 km NNW of Popondetta, Papua New Guinea",7.0,6,7,green,1,820,us,0,1.671,18.0,mww,73.0,-7.85,147.76,"Popondetta, Papua New Guinea",Oceania,Papua New Guinea,17,7,2020
"M 6.6 - 97 km N of Batang, Indonesia",6.6,4,2,green,0,684,us,0,1.458,14.0,mww,533.76,-5.64,110.68,"Batang, Indonesia",Asia,Indonesia,6,7,2020
"M 7.4 - 9 km SE of Santa María Xadani, Mexico",7.4,8,8,orange,1,1494,us,0,0.151,30.0,mww,20.0,15.92,-95.95,"Santa María Xadani, Mexico",North America,Mexico,23,6,2020
"M 6.6 - 130 km WNW of Naze, Japan",6.6,5,4,green,1,734,us,0,2.015,18.0,mww,165.0,28.94,128.26,"Naze, Japan",Asia,Japan,13,6,2020
"M 6.8 - 48 km SW of San Pedro de Atacama, Chile",6.8,6,6,green,1,835,us,0,1.164,21.0,mww,112.0,-23.3,-68.42,"San Pedro de Atacama, Chile",South America,Chile,3,6,2020
"M 6.5 - Monte Cristo Range, NV Earthquake",6.5,7,8,green,0,1320,nn,27,0.357,55.79,ml,2.7,38.17,-117.85,"Monte Cristo Range, NV Earthquake",North America,United States,15,5,2020
"M 6.6 - 175 km SSE of Lata, Solomon Islands",6.6,4,6,green,1,671,us,0,3.403,12.0,mww,107.0,-12.07,166.65,"Lata, Solomon Islands",Oceania,Solomon Islands,12,5,2020
M 6.8 - Banda Sea,6.8,4,6,green,0,738,us,0,1.921,16.0,mww,96.0,-6.78,129.78,Banda Sea,Asia,Indonesia,6,5,2020
"M 6.5 - 91 km S of Néa Anatolí, Greece",6.5,7,6,green,0,678,us,0,1.293,19.0,mww,10.0,34.18,25.71,"Néa Anatolí, Greece",Europe,Greece,2,5,2020
"M 6.5 - Stanley, Idaho",6.5,8,8,green,0,1410,us,0,0.885,31.0,mww,12.06,44.46,-115.12,"Stanley, Idaho",North America,United States,31,3,2020
"M 7.5 - 221 km SSE of Severo-Kuril’sk, Russia",7.5,6,5,green,1,879,us,0,4.109,12.0,mww,57.8,48.96,157.7,"Severo-Kuril’sk, Russia",Europe,Russian Federation,25,3,2020
"M 7.0 - 95 km ENE of Kuril’sk, Russia",7.0,5,6,yellow,1,770,us,0,4.501,25.0,mww,143.0,45.62,148.96,"Kuril’sk, Russia",Asia,Russian Federation,13,2,2020
"M 7.7 - 123 km NNW of Lucea, Jamaica",7.7,9,6,yellow,1,1812,us,0,1.657,26.0,mww,14.86,19.42,-78.76,"Lucea, Jamaica",North America,Jamaica,28,1,2020
"M 6.7 - 13 km N of Do?anyol, Turkey",6.7,8,9,orange,0,1247,us,0,0.87,49.0,mww,10.0,38.43,39.06,"Do?anyol, Turkey",Asia,Turkey,24,1,2020
"M 6.8 - 7 km S of Magsaysay, Philippines",6.8,9,7,yellow,1,825,us,0,0.546,39.0,mww,18.0,6.7,125.17,"Magsaysay, Philippines",Asia,Philippines,15,12,2019
"M 7.1 - 138km E of Bitung, Indonesia",7.1,6,6,green,1,799,us,0,1.271,11.0,mww,33.0,1.62,126.42,"Bitung, Indonesia",Asia,Indonesia,14,11,2019
"M 6.5 - 166km SSW of Ndoi Island, Fiji",6.5,0,2,green,0,650,us,0,4.765,25.0,mww,577.0,-21.94,-179.51,"Ndoi Island, Fiji",Oceania,Fiji,8,11,2019
"M 6.6 - 136 km W of Neiafu, Tonga",6.6,4,4,green,1,673,us,0,5.086,48.0,mww,10.0,-18.57,-175.27,"Neiafu, Tonga",Oceania,Tonga,4,11,2019
"M 6.5 - 2km ESE of Kisante, Philippines",6.5,9,7,green,1,733,us,0,0.428,19.0,mww,10.0,6.91,125.18,"Kisante, Philippines",Asia,Philippines,31,10,2019
"M 6.6 - 10 km NE of Columbio, Philippines",6.6,9,7,yellow,1,780,us,0,0.646,24.0,mww,15.0,6.76,125.01,"Columbio, Philippines",Asia,Philippines,29,10,2019
"M 6.7 - 70 km WSW of Constitución, Chile",6.7,7,6,green,1,844,us,0,1.269,98.0,mww,11.0,-35.48,-73.16,"Constitución, Chile",South America,Chile,29,9,2019
"M 6.5 - 11km S of Kairatu, Indonesia",6.5,7,7,yellow,1,656,us,0,3.909,15.0,mww,12.26,-3.45,128.37,"Kairatu, Indonesia",Asia,Indonesia,25,9,2019
"M 6.6 - 34km NNE of Ndoi Island, Fiji",6.6,2,3,,1,671,us,0,4.121,19.0,mww,591.0,-20.36,-178.57,"Ndoi Island, Fiji",Oceania,Fiji,1,9,2019
"M 6.6 - 131km S of Bristol Island, South Sandwich Islands",6.6,0,4,green,1,670,us,0,12.896,19.0,mww,16.0,-60.22,-26.58,"Bristol Island, South Sandwich Islands",Europe,United Kingdom,27,8,2019
"M 6.9 - 152 km SW of Labuan, Indonesia",6.9,4,6,green,0,875,us,0,2.839,23.0,mww,49.0,-7.28,104.79,"Labuan, Indonesia",Asia,Indonesia,2,8,2019
"M 6.8 - 96 km SW of San Antonio, Chile",6.8,6,6,green,1,947,us,0,0.817,35.0,mww,25.0,-34.24,-72.31,"San Antonio, Chile",South America,Chile,1,8,2019
"M 6.6 - 62km E of Lakatoro, Vanuatu",6.6,0,4,green,1,670,us,0,6.024,30.0,mww,181.0,-16.2,168.0,"Lakatoro, Vanuatu",Oceania,Vanuatu,31,7,2019
